date,open,high,low,close,volume,amount
2020-03-02,7.8245754400,7.9088113000,7.5999464800,7.8432945200,42867496,355240267.0000
2020-03-03,7.8900922200,8.0211257800,7.7122609600,7.7684182000,32714367,274746220.0000
2020-03-04,7.8058563600,7.8058563600,7.5063510800,7.6467441800,29342784,239174001.0000
2020-03-05,7.6654632600,7.7216205000,7.5905869400,7.7029014200,20455905,167717912.0000
2020-03-06,7.6654632600,7.8620136000,7.5905869400,7.7216205000,22064845,182824264.0000
2020-03-09,7.6093060200,7.6373846400,7.3565984400,7.3565984400,34120364,272394015.0000
2020-03-10,7.2723625800,7.4969915400,7.1600481000,7.4595533800,31015529,243353270.0000
2020-03-11,7.4876320000,7.5344297000,7.3191602800,7.3191602800,18053380,142471173.0000
2020-03-12,7.2255648800,7.2442839600,7.0290145400,7.0851717800,22543307,171659688.0000
2020-03-13,6.7388688000,6.9822168400,6.6920711000,6.9073405200,28556445,207971117.0000
2020-03-16,6.9915763800,7.2723625800,6.7388688000,6.8324642000,29154500,218446511.0000
2020-03-17,6.7856665000,6.9167000600,6.6078352400,6.6920711000,23885157,171252344.0000
2020-03-18,6.7388688000,6.7950260400,6.5703970800,6.5984757000,18415215,131593437.0000
2020-03-19,6.5891161600,6.6639924800,6.4393635200,6.5423184600,19939862,138960386.0000
2020-03-20,6.5984757000,6.7388688000,6.5142398400,6.7388688000,18158110,128859550.0000
2020-03-23,6.6265543200,6.7295092600,6.5235993800,6.5610375400,15566700,110236658.0000
2020-03-24,6.6546329400,6.7107901800,6.5235993800,6.6265543200,16717151,117982103.0000
2020-03-25,6.7575878800,6.7669474200,6.6639924800,6.7482283400,16295505,117116588.0000
2020-03-26,6.7201497200,6.8792619000,6.6827115600,6.8324642000,16926519,123222606.0000
2020-03-27,6.8792619000,6.8886214400,6.6733520200,6.6920711000,15062241,109060486.0000
2020-03-30,6.6827115600,6.6920711000,6.4580826000,6.5891161600,15387303,107857216.0000
2020-03-31,6.6546329400,6.6827115600,6.5329589200,6.5423184600,9566600,67305225.0000
2020-04-01,6.5329589200,6.6827115600,6.5329589200,6.5984757000,10422376,73616270.0000
2020-04-02,6.5516780000,6.6733520200,6.5329589200,6.6733520200,9925540,70190180.0000
2020-04-03,6.6452734000,6.7575878800,6.6452734000,6.6920711000,14265723,102157720.0000
2020-04-07,6.7575878800,6.8605428200,6.7201497200,6.8043855800,19768033,143537344.0000
2020-04-08,6.7856665000,6.8231046600,6.7107901800,6.7856665000,15329328,111067663.0000
2020-04-09,6.8231046600,6.8605428200,6.7763069600,6.7763069600,11914820,86627798.0000
2020-04-10,6.7950260400,7.0477336200,6.7856665000,6.8886214400,28419720,210054062.0000
2020-04-13,6.8979809800,7.2255648800,6.8324642000,7.2255648800,37476028,284552453.0000
2020-04-14,7.2630030400,7.2910816600,7.0758122400,7.1413290200,28666163,218677853.0000
2020-04-15,7.1413290200,7.2630030400,7.0851717800,7.1506885600,21365772,163681047.0000
2020-04-16,7.1132504000,7.1413290200,6.9260596000,6.9822168400,21939188,164317208.0000
2020-04-17,6.9728573000,7.0102954600,6.8231046600,6.8886214400,33411699,245808792.0000
2020-04-20,6.8605428200,6.9915763800,6.7950260400,6.9915763800,18562935,136064671.0000
2020-04-21,6.9260596000,6.9260596000,6.8137451200,6.8605428200,13795020,101013684.0000
2020-04-22,6.8324642000,6.8511832800,6.7014306400,6.7388688000,16484384,119005216.0000
2020-04-23,6.7575878800,6.9354191400,6.7482283400,6.7763069600,19735767,144189315.0000
2020-04-24,6.7856665000,6.8043855800,6.5891161600,6.5984757000,17606867,125276967.0000
2020-04-27,6.6171947800,6.6733520200,6.5703970800,6.5703970800,12743640,90184051.0000
2020-04-28,6.4955207600,6.5048803000,6.1304987000,6.1866559400,35424348,237777822.0000
2020-04-29,6.1960154800,6.2334536400,6.1398582400,6.1960154800,13822309,91232295.0000
2020-04-30,6.2240941000,6.3270490400,6.1960154800,6.2896108800,14415180,96766512.0000
2020-05-06,6.2240941000,6.3644872000,6.1772964000,6.3364085800,17647974,119135060.0000
2020-05-07,6.3644872000,6.4019253600,6.2428131800,6.3364085800,19684273,132559680.0000
2020-05-08,6.3364085800,6.3832062800,6.2989704200,6.2989704200,17831261,120581167.0000
2020-05-11,6.3083299600,6.3364085800,6.1960154800,6.2428131800,17280486,115402160.0000
2020-05-12,6.2708918000,6.3364085800,6.1772964000,6.2147345600,18217987,121591089.0000
2020-05-13,6.2240941000,6.2240941000,6.1304987000,6.1679368600,17256710,113503273.0000
2020-05-14,6.1772964000,6.1866559400,5.9713865200,5.9901056000,26292080,169670496.0000
2020-05-15,6.0088246800,6.1304987000,5.9058697400,6.0743414600,20981214,134955795.0000
2020-05-18,6.0930605400,6.1679368600,6.0088246800,6.0743414600,21224945,138554256.0000
2020-05-19,6.0837010000,6.1398582400,6.0369033000,6.0556223800,13509652,87748234.0000
2020-05-20,6.0556223800,6.1211391600,6.0369033000,6.0649819200,11816403,76705414.0000
2020-05-21,6.0649819200,6.2989704200,6.0649819200,6.1866559400,28723384,190404515.0000
2020-05-22,6.2240941000,6.2240941000,5.9994651400,6.0088246800,16959400,109829803.0000
2020-05-25,6.0181842200,6.0556223800,5.9152292800,5.9433079000,13898696,88701093.0000
2020-05-26,5.9526674400,6.0837010000,5.9526674400,6.0556223800,12365216,79339643.0000
2020-05-27,6.0181842200,6.0181842200,5.9526674400,5.9807460600,11348395,72487710.0000
2020-05-28,5.9807460600,6.0181842200,5.8965102000,5.9058697400,11198698,71106318.0000
2020-05-29,5.9245888200,5.9433079000,5.8965102000,5.9339483600,12958117,81890905.0000
2020-06-01,5.9339483600,6.0837010000,5.9339483600,6.0743414600,22129416,142384715.0000
2020-06-02,6.0743414600,6.1585773200,6.0369033000,6.0743414600,18090160,117856103.0000
2020-06-03,6.1117796200,6.1585773200,6.0837010000,6.0837010000,13454620,88020310.0000
2020-06-04,6.0837010000,6.1398582400,6.0556223800,6.1117796200,11865966,77390346.0000
2020-06-05,6.1304987000,6.2521727200,6.0837010000,6.2334536400,17354864,114288483.0000
2020-06-08,6.2521727200,6.2802513400,6.1398582400,6.1585773200,17609839,116328469.0000
2020-06-09,6.2334536400,6.3925658200,6.1866559400,6.3083299600,27483914,185311310.0000
2020-06-10,6.2708918000,6.2802513400,6.1585773200,6.1772964000,13636019,90425758.0000
2020-06-11,6.1772964000,6.2053750200,6.0743414600,6.0743414600,17981000,117588632.0000
2020-06-12,5.9339483600,6.0930605400,5.8965102000,6.0743414600,16662148,107395625.0000
2020-06-15,6.0837010000,6.1304987000,6.0088246800,6.0181842200,15789591,102247310.0000
2020-06-16,6.1398582400,6.3644872000,6.1398582400,6.3083299600,40435868,270966558.0000
2020-06-17,6.2896108800,6.7856665000,6.2428131800,6.5984757000,61510341,430111025.0000
2020-06-18,6.5984757000,6.6359138600,6.4674421400,6.5235993800,29973902,208592345.0000
2020-06-19,6.5142398400,6.5423184600,6.4206444400,6.4393635200,24240876,167273019.0000
2020-06-22,6.4580826000,6.5797566200,6.4206444400,6.4206444400,23522516,162883093.0000
2020-06-23,6.4112849000,6.4206444400,6.3364085800,6.3738467400,15084749,102656020.0000
2020-06-24,6.3738467400,6.3832062800,6.2615322600,6.2708918000,18798065,126502827.0000
2020-06-29,6.2615322600,6.3083299600,6.2147345600,6.2521727200,13157419,87998855.0000
2020-06-30,6.2521727200,6.5235993800,6.2428131800,6.4674421400,31311211,215303884.0000
2020-07-01,6.4861612200,6.5142398400,6.3832062800,6.4300039800,20538081,141081508.0000
2020-07-02,6.4206444400,6.5048803000,6.3925658200,6.4861612200,27113510,186963596.0000
2020-07-03,6.5048803000,6.5891161600,6.4580826000,6.5048803000,33826980,235672225.0000
2020-07-06,6.5516780000,6.7295092600,6.5329589200,6.7014306400,47637736,338760834.0000
2020-07-07,6.7388688000,6.8699023600,6.6265543200,6.6265543200,56823652,406697437.0000
2020-07-08,6.6171947800,6.7763069600,6.5984757000,6.7575878800,47077830,336919616.0000
2020-07-09,6.8418237400,6.9634977600,6.7575878800,6.9634977600,56095532,411163375.0000
2020-07-10,7.0102954600,7.0102954600,6.7107901800,6.7201497200,50447005,367837948.0000
